country,continent,year,lifeExp,pop,gdpPercap,iso_alpha,iso_num
Algeria,Africa,1952,43.077,9279525,2449.008,DZA,12
Angola,Africa,1952,30.015,4232095,3520.61,AGO,24
Benin,Africa,1952,38.223,1738315,1062.752,BEN,204
Botswana,Africa,1952,47.622,442308,851.241,BWA,72
Burkina Faso,Africa,1952,31.975,4469979,543.255,BFA,854
Burundi,Africa,1952,39.031,2445618,339.296,BDI,108
Cameroon,Africa,1952,38.523,5009067,1172.668,CMR,120
Central African Republic,Africa,1952,35.463,1291695,1071.311,CAF,140
Chad,Africa,1952,38.092,2682462,1178.666,TCD,148
Comoros,Africa,1952,40.715,153936,1102.991,COM,174
"Congo, Dem. Rep.",Africa,1952,39.143,14100005,780.542,COD,180
"Congo, Rep.",Africa,1952,42.111,854885,2125.621,COG,178
Cote d'Ivoire,Africa,1952,40.477,2977019,1388.595,CIV,384
Djibouti,Africa,1952,34.812,63149,2669.529,DJI,262
Egypt,Africa,1952,41.893,22223309,1418.822,EGY,818
Equatorial Guinea,Africa,1952,34.482,216964,375.643,GNQ,226
Eritrea,Africa,1952,35.928,1438760,328.941,ERI,232
Ethiopia,Africa,1952,34.078,20860941,362.146,ETH,231
Gabon,Africa,1952,37.003,420702,4293.476,GAB,266
Gambia,Africa,1952,30.0,284320,485.231,GMB,270
Ghana,Africa,1952,43.149,5581001,911.299,GHA,288
Guinea,Africa,1952,33.609,2664249,510.196,GIN,324
Guinea-Bissau,Africa,1952,32.5,580653,299.85,GNB,624
Kenya,Africa,1952,42.27,6464046,853.541,KEN,404
Lesotho,Africa,1952,42.138,748747,298.846,LSO,426
Liberia,Africa,1952,38.48,863308,575.573,LBR,430
Libya,Africa,1952,42.723,1019729,2387.548,LBY,434
Madagascar,Africa,1952,36.681,4762912,1443.012,MDG,450
Malawi,Africa,1952,36.256,2917802,369.165,MWI,454
Mali,Africa,1952,33.685,3838168,452.337,MLI,466
Mauritania,Africa,1952,40.543,1022556,743.116,MRT,478
Mauritius,Africa,1952,50.986,516556,1967.956,MUS,480
Morocco,Africa,1952,42.873,9939217,1688.204,MAR,504
Mozambique,Africa,1952,31.286,6446316,468.526,MOZ,508
Namibia,Africa,1952,41.725,485831,2423.78,NAM,516
Niger,Africa,1952,37.444,3379468,761.879,NER,562
